ticket_id,created_at,category,priority,status,response_time_hrs,resolution_time_hrs,agent_id,customer_rating,issue_summary
TKT-0433,2024-01-01 22:28:48,Technical,Critical,Open,0.77,,AGT-10,,Webhook deliveries silently dropped
TKT-0157,2024-01-02 00:06:56,Technical,Low,Resolved,10.97,11.75,AGT-01,5,Data export times out on large accounts
TKT-0039,2024-01-02 01:00:32,Technical,Medium,Resolved,1.95,33.74,AGT-12,4,Login fails with 500 error
TKT-0188,2024-01-02 04:52:21,Billing,High,Escalated,2.22,,AGT-02,,Subscription renewed despite cancellation
TKT-0023,2024-01-02 05:52:26,Technical,Low,Resolved,3.36,10.59,AGT-04,4,Webhook deliveries silently dropped
TKT-0276,2024-01-02 07:43:53,Technical,Critical,Resolved,5.33,9.96,AGT-12,5,Webhook deliveries silently dropped
TKT-0374,2024-01-02 08:27:05,Technical,Medium,Resolved,9.16,21.96,AGT-11,2,Mobile app crashes on startup
TKT-0305,2024-01-02 10:11:00,General,High,Open,1.38,,AGT-04,,Feature request: dark mode
TKT-0214,2024-01-02 13:03:49,Technical,Low,Resolved,5.41,20.76,AGT-08,4,SSO redirect loop after password reset
TKT-0028,2024-01-02 20:57:49,Billing,Medium,Resolved,1.35,8.0,AGT-03,5,Promo code not applied at checkout
TKT-0466,2024-01-02 21:41:23,Billing,Low,Resolved,8.13,13.6,AGT-05,5,Subscription renewed despite cancellation
TKT-0251,2024-01-03 03:04:26,Billing,High,Resolved,1.59,19.23,AGT-06,5,Promo code not applied at checkout
TKT-0291,2024-01-03 06:04:27,Technical,High,Resolved,1.63,22.05,AGT-03,3,Webhook deliveries silently dropped
TKT-0007,2024-01-03 15:38:03,General,High,Resolved,1.34,4.73,AGT-02,3,Request for onboarding session
TKT-0422,2024-01-03 15:42:54,Technical,Low,Resolved,5.61,6.11,AGT-08,5,Mobile app crashes on startup
TKT-0311,2024-01-04 03:31:16,General,Medium,Resolved,1.31,8.72,AGT-06,2,How to add a team member
TKT-0356,2024-01-04 04:20:17,Technical,High,Resolved,3.09,14.57,AGT-08,3,Webhook deliveries silently dropped
TKT-0032,2024-01-04 06:47:51,Technical,Critical,Open,5.64,,AGT-03,,Login fails with 500 error
TKT-0348,2024-01-04 09:32:30,Technical,Low,Escalated,8.08,,AGT-06,,Dashboard charts fail to render
TKT-0114,2024-01-04 12:49:28,General,Low,Escalated,7.13,,AGT-05,,Request for onboarding session
TKT-0074,2024-01-04 15:05:28,General,Low,Resolved,1.88,5.71,AGT-12,2,How to add a team member
TKT-0089,2024-01-04 16:46:03,Technical,Low,Open,8.92,,AGT-10,,Data export times out on large accounts
TKT-0282,2024-01-04 21:15:04,Technical,High,Resolved,1.89,92.74,AGT-01,4,SSO redirect loop after password reset
TKT-0066,2024-01-04 21:47:45,Technical,Critical,Resolved,1.55,28.32,AGT-09,4,Dashboard charts fail to render
TKT-0407,2024-01-04 22:37:21,Billing,Low,Resolved,6.6,9.28,AGT-08,1,Invoice shows incorrect tax amount
TKT-0412,2024-01-04 23:26:35,Technical,Medium,Resolved,5.84,24.86,AGT-05,1,Data export times out on large accounts
TKT-0402,2024-01-04 23:48:22,Billing,Medium,Resolved,2.29,2.79,AGT-09,5,Duplicate charge on monthly invoice
TKT-0026,2024-01-05 00:14:04,Billing,Critical,Resolved,0.45,21.7,AGT-08,4,Subscription renewed despite cancellation
TKT-0330,2024-01-05 01:18:11,General,Medium,Resolved,3.3,4.53,AGT-12,5,How to add a team member
TKT-0171,2024-01-05 05:22:52,Technical,Low,Resolved,15.02,15.52,AGT-11,4,Login fails with 500 error
TKT-0351,2024-01-05 08:06:40,Billing,Medium,Resolved,4.5,43.33,AGT-11,3,Refund not received after cancellation
TKT-0451,2024-01-05 14:24:04,General,Critical,Escalated,0.43,,AGT-08,,Clarification on data retention policy
TKT-0396,2024-01-05 15:00:11,General,Critical,Resolved,1.09,14.73,AGT-01,4,Request for onboarding session
TKT-0247,2024-01-05 17:35:57,Technical,High,Resolved,5.2,17.27,AGT-04,1,Mobile app crashes on startup
